New Folio No. and Face,Entry No.,Entry Part,Date Range-Standard-Start,Date Range-Standard-End,Date-Inferred,Date-Uncertain,Date-Approximate,Date-Type,Place-As Written,Place-Type,Place- Function,Date-Notes,Recited Date 1 Range-Standard-Start,Recited Date Range-Standard-End,Recited Date-Inferred,Recited Date-Uncertain,Recited Date-Approximate,Recited Date 1-Function,Recited Date 1-Place-As Written,Recited Date 1-Place-Type,Recited Date 1- Notes,Recited date 2-standard,Recited date 2-place-as written,Recited date 2-place – function,Recited date 2-place – type
10 r - 10 r,77,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10 r - 10 r,78,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10 r - 10 r,79,,1381-02-25,,,,,Document date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10 r - 10 r,80,,1381-02-25,,,,,Memorandum date,Beverlaco,in manerio nostro,,,,,,,,,,,,,,,
10 v - 10 v,81,,1381-03-04,,,,,Document date,Beverl',in manerio nostro,,,,,,,,,,,,,,,
10 v - 10 v,82,,1381-02-24,,,,,Document date,Beverlac',in manerio nostro,,,1380-09-28,,,,,,Westm',,,,,,
10 v - 10 v,83,,1381-02-26,,,,,Document date,Beverlac',in manerio nostro,,,1381-03-27,,,,,Event date,,,,,,,
11 r - 11 r,84,,1381-04-26,,,,,Document date,Beverlac',in manerio nostro,,,,,,,,,,,,,,,
11 r - 11 r,85,,1381-05-29,,,,,Document date,Beverl',,,,,,,,,,,,,,,,
11 r - 11 r,86,,1381-05-28,,,,,Document date,Beverl',in manerio nostro,,,,,,,,,,,,,,,
11 r - 11 r,87,,1381-07-12,,,,,Document date,Beverlac',in manerio nostro,,,,,,,,,,,,,,,
11 v - 11 v,88,,1381-07-06,,,,,Document date,Beverlac',,,,,,,,,,,,,,,,
11 v - 11 v,89,,1381-07-20,,,,,Document date,Beverlacu',,,,,,,,,,,,,,,,
11 v - 11 v,90,,1381-06-24,,,Yes,,Document date,Beverl',,,"Dated 'in festo Sancti Johannis Bapte', presumably Nativity of St John the Baptist (24 June)",,,,,,,,,,,,,
11 v - 11 v,91,,1380-07-22,,,,,Document date,Lincoln,in hospitio meo apud Lincoln,,,,,,,,,,,,,,,
11 v - 11 v,92,,1381-10-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
11 v - 11 v,93,,1382-01-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
11 v - 11 v,94,,1382-01-08,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
11 v - 11 v,95,,1382-01-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
11 v - 11 v,96,,1382-01-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12 A r unnumbered folio/insert – 12 A v unnumbered folio/insert,97,,1383-03-06,,,,,Document date,Cawode,in manerio nostro,,,1382-09-14,,,,,,Westm',,,1382-12-15,Ebor',event date,cathedral church
12 r - 12 r,98,,1382-01-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12 r - 12 r,99,,1382-01-10,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
12 r - 12 r,100,,1382-01-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12 r - 12 r,101,,1382-01-10,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
12 r - 12 r,102,,[1382]-02-01,,Yes,,,Document date,Cawode,,,Dated in archbishop's eighth year,,,,,,,,,,,,,
12 r - 12 r,103,,1382-02-24,,,,,Document date,Cawode,in manerio nostro,,,,,,,,,,,,,,,
12 r - 12 r,104,,1382-02-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12 r - 12 r,105,,1382-03-04,,,,,Document date,Thorp iuxta Ebor',,,,,,,,,,,,,,,,
12 r - 12 r,106,,1382-03-06,,,,,Document date,Thorp iuxta Ebor',in manerio nostro,,,,,,,,,,,,,,,
12 v - 12 v,107,,1380-08-26,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12 v - 12 v,108,,1380-08-26,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12 v - 12 v,109,,1382-04-21,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
12 v - 12 v,110,,1382-09-06,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
