Image,Folio,Recto/Verso,Notes,UV
Abp_Reg_31_0001,,,Outside of front board,
Abp_Reg_31_0002,,,Pastedown on inside of front board and pocket attached to inside of front board holding indices; Paper,
Abp_Reg_31_0003,i,r,"Index, Paper",
Abp_Reg_31_0004,i,v,"Index, Paper",
Abp_Reg_31_0005,ii,r,"Index, Paper",
Abp_Reg_31_0006,ii,v,"Index, Paper",
Abp_Reg_31_0007,iii,r,"Index, Paper",
Abp_Reg_31_0008,iii,v,"Index, Paper",
Abp_Reg_31_0009,iv,r,"Index, Paper",
Abp_Reg_31_0010,iv,v,"Index, Paper",
Abp_Reg_31_0011,,,Front flyleaf 1 (recto); Paper,
Abp_Reg_31_0012,,,Front flyleaf 1 (verso); Paper,
Abp_Reg_31_0013,,,Front flyleaf 2 (recto); Paper,
Abp_Reg_31_0014,,,Front flyleaf 2 (verso); Paper,
Abp_Reg_31_0015,,,Contemporary front flyleaf 1 (recto),
Abp_Reg_31_0016,,,Contemporary front flyleaf 1 (verso),
Abp_Reg_31_0017,,,Contemporary front flyleaf 2 (recto),
Abp_Reg_31_0018,,,Contemporary front flyleaf 2 (recto),UV
Abp_Reg_31_0019,,,Contemporary front flyleaf 2 (verso),
Abp_Reg_31_0020,,,Contemporary front flyleaf 3 (recto),
Abp_Reg_31_0021,,,Contemporary front flyleaf 3 (verso),
Abp_Reg_31_0022,,,Contemporary front flyleaf 4 (recto),
Abp_Reg_31_0023,,,Contemporary front flyleaf 4 (verso),
Abp_Reg_31_0296,136,v,,
Abp_Reg_31_0297,137,r,,
Abp_Reg_31_0298,137,v,,
Abp_Reg_31_0299,138,r,,
Abp_Reg_31_0300,138,v,,
Abp_Reg_31_0301,139,r,,
Abp_Reg_31_0302,139,v,,
Abp_Reg_31_0303,140,r,,
Abp_Reg_31_0304,140,v,,
Abp_Reg_31_0305,141,r,,
Abp_Reg_31_0306,141,v,,
Abp_Reg_31_0307,142,r,,
Abp_Reg_31_0308,142,v,,
Abp_Reg_31_0309,143,r,,
Abp_Reg_31_0310,143,v,,
Abp_Reg_31_0311,144,r,,
Abp_Reg_31_0312,144,v,,
Abp_Reg_31_0313,145,r,,
Abp_Reg_31_0314,145,v,,
Abp_Reg_31_0315,146,r,,
Abp_Reg_31_0316,146,v,,
Abp_Reg_31_0317,147,r,,
Abp_Reg_31_0318,147,v,,
Abp_Reg_31_0319,148,r,,
Abp_Reg_31_0320,148,v,,
Abp_Reg_31_0321,149,r,,
Abp_Reg_31_0322,149,v,,
Abp_Reg_31_0323,150,r,,
Abp_Reg_31_0324,150,v,,
Abp_Reg_31_0325,151,r,,
Abp_Reg_31_0326,151,v,,
Abp_Reg_31_0327,152,r,,
Abp_Reg_31_0328,152,v,,
Abp_Reg_31_0329,153,r,,
Abp_Reg_31_0330,153,v,,
Abp_Reg_31_0331,154,r,,
Abp_Reg_31_0332,154,v,,
Abp_Reg_31_0333,155,r,,
Abp_Reg_31_0334,155,v,,
Abp_Reg_31_0335,156,r,,
Abp_Reg_31_0336,156,v,,
Abp_Reg_31_0337,156,v,,UV
Abp_Reg_31_0338,157,r,,
Abp_Reg_31_0339,157,v,,
Abp_Reg_31_0340,158,r,,
Abp_Reg_31_0341,158,v,,
Abp_Reg_31_0342,159,r,,
Abp_Reg_31_0343,159,v,,
Abp_Reg_31_0344,160,r,,
Abp_Reg_31_0345,160,v,,
Abp_Reg_31_0346,161,r,,
Abp_Reg_31_0347,161,v,,
Abp_Reg_31_0348,162,r,,
Abp_Reg_31_0349,162,v,,
Abp_Reg_31_0350,163,r,,
Abp_Reg_31_0351,163,v,,
Abp_Reg_31_0352,164,r,,
Abp_Reg_31_0353,164,v,,
Abp_Reg_31_0354,165,r,,
Abp_Reg_31_0355,165,v,,
Abp_Reg_31_0356,166,r,,
Abp_Reg_31_0357,166,v,,
Abp_Reg_31_0358,167,r,,
Abp_Reg_31_0359,167,v,,
Abp_Reg_31_0360,168,r,,
Abp_Reg_31_0361,168,v,,
Abp_Reg_31_0362,169,r,,
Abp_Reg_31_0363,169,v,,
Abp_Reg_31_0364,170,r,,
Abp_Reg_31_0365,170,v,,
Abp_Reg_31_0366,171,r,,
Abp_Reg_31_0367,171,v,,
Abp_Reg_31_0368,172,r,,
Abp_Reg_31_0369,172,v,,
Abp_Reg_31_0370,173,r,,
Abp_Reg_31_0371,173,v,,
Abp_Reg_31_0372,174,r,,
Abp_Reg_31_0373,174,v,,
Abp_Reg_31_0374,175,r,,
Abp_Reg_31_0375,175,v,,
Abp_Reg_31_0376,176,r,,
Abp_Reg_31_0377,176,v,,
Abp_Reg_31_0378,177,r,,
Abp_Reg_31_0379,177,v,,
Abp_Reg_31_0380,178,r,,
Abp_Reg_31_0381,178,v,,
Abp_Reg_31_0382,179,r,,
Abp_Reg_31_0383,179,v,,
Abp_Reg_31_0384,180,r,,
Abp_Reg_31_0385,180,v,,
Abp_Reg_31_0386,181,r,,
Abp_Reg_31_0387,181,v,,
Abp_Reg_31_0388,182,r,,
Abp_Reg_31_0389,182,v,,
Abp_Reg_31_0390,183,r,,
Abp_Reg_31_0391,183,v,,
Abp_Reg_31_0392,184,r,,
Abp_Reg_31_0393,184,v,,
Abp_Reg_31_0394,185,r,,
Abp_Reg_31_0395,185,v,,
Abp_Reg_31_0396,186,r,,
Abp_Reg_31_0397,186,v,,
Abp_Reg_31_0398,187,r,,
Abp_Reg_31_0399,187,v,,
Abp_Reg_31_0400,188,r,,
Abp_Reg_31_0401,188,v,,
Abp_Reg_31_0402,189,r,,
Abp_Reg_31_0403,189,v,,
Abp_Reg_31_0404,190,r,,
Abp_Reg_31_0405,190,v,,
Abp_Reg_31_0406,191,r,,
Abp_Reg_31_0407,191,v,,
Abp_Reg_31_0408,192,r,,
Abp_Reg_31_0409,192,v,,
Abp_Reg_31_0410,193,r,,
Abp_Reg_31_0411,193,v,,
Abp_Reg_31_0412,194,r,,
Abp_Reg_31_0413,194,v,,
Abp_Reg_31_0414,195,r,,
Abp_Reg_31_0415,195,v,,
Abp_Reg_31_0416,196,r,,
Abp_Reg_31_0417,196,v,,
Abp_Reg_31_0418,197,r,,
