Image,folio,recto/verso,Description,Notes,PID
Abp_Reg_27_0234,112,v,,,york:903567
Abp_Reg_27_0235,113,r,,,york:903568
Abp_Reg_27_0236,113,v,,,york:903569
Abp_Reg_27_0237,114,r,,,york:903570
Abp_Reg_27_0238,114,v,,,york:903571
Abp_Reg_27_0239,115,r,,,york:903572
Abp_Reg_27_0240,115,v,,,york:903573
Abp_Reg_27_0241,116,r,,,york:903574
Abp_Reg_27_0242,116,v,,,york:903575
Abp_Reg_27_0243,117,r,,,york:903576
Abp_Reg_27_0244,117,v,,,york:903577
Abp_Reg_27_0245,118,r,,,york:903578
Abp_Reg_27_0246,118,v,,,york:903579
Abp_Reg_27_0247,119,r,,,york:903580
Abp_Reg_27_0248,119,v,,,york:903581
Abp_Reg_27_0249,120,r,,,york:903582
Abp_Reg_27_0250,120,v,,,york:903583
Abp_Reg_27_0251,121,r,,,york:903584
Abp_Reg_27_0252,121,v,,,york:903585
Abp_Reg_27_0253,122,r,,,york:903586
Abp_Reg_27_0254,122,v,,,york:903587
Abp_Reg_27_0255,123,r,,,york:903588
Abp_Reg_27_0256,123,v,,,york:903589
Abp_Reg_27_0257,124,r,,,york:903590
Abp_Reg_27_0258,124,v,,,york:903591
Abp_Reg_27_0259,125,r,,,york:903592
Abp_Reg_27_0260,125,v,,,york:903593
Abp_Reg_27_0261,126,r,,,york:903594
Abp_Reg_27_0262,126,v,,,york:903595
Abp_Reg_27_0263,127,r,,,york:903596
Abp_Reg_27_0264,127,v,,,york:903597
Abp_Reg_27_0265,128,r,,,york:903598
Abp_Reg_27_0266,128,v,,,york:903599
Abp_Reg_27_0267,129,r,,,york:903600
Abp_Reg_27_0268,129,v,,,york:903601
Abp_Reg_27_0269,130,r,,,york:903602
Abp_Reg_27_0270,130,v,,,york:903603
Abp_Reg_27_0271,131,r,,,york:903604
Abp_Reg_27_0272,131,v,,,york:903605
Abp_Reg_27_0273,132,r,,,york:903606
Abp_Reg_27_0274,132,v,,,york:903607
Abp_Reg_27_0275,133,r,,,york:903608
Abp_Reg_27_0276,133,v,,,york:903609
Abp_Reg_27_0277,134,r,,,york:903610
Abp_Reg_27_0278,134,v,,,york:903611
Abp_Reg_27_0279,135,r,,,york:903612
Abp_Reg_27_0280,135,v,,,york:903613
Abp_Reg_27_0281,136,r,,,york:903614
Abp_Reg_27_0282,136,v,,,york:903615
Abp_Reg_27_0283,137,r,,,york:903616
Abp_Reg_27_0284,137,v,,,york:903617
Abp_Reg_27_0285,138,r,,,york:903618
Abp_Reg_27_0286,138,v,Index,,york:903619
Abp_Reg_27_0287,138A,r,Index,,york:903620
Abp_Reg_27_0288,138A,v,Index,,york:903621
Abp_Reg_27_0289,138B,r,Index,,york:903622
Abp_Reg_27_0290,138B,v,Index,,york:903623
Abp_Reg_27_0291,138C,r,Index,,york:903624
Abp_Reg_27_0292,138C,v,Index,,york:903625
Abp_Reg_27_0293,139,r,,,york:903626
Abp_Reg_27_0294,139,v,,,york:903627
Abp_Reg_27_0295,140,r,,,york:903628
Abp_Reg_27_0296,140,v,,,york:903629
Abp_Reg_27_0297,141,r,,,york:903630
Abp_Reg_27_0298,141,v,,,york:903631
Abp_Reg_27_0299,142,r,,,york:903632
Abp_Reg_27_0300,142,v,,,york:903633
Abp_Reg_27_0301,143,r,,,york:903634
Abp_Reg_27_0302,143,v,,,york:903635
Abp_Reg_27_0303,144,r,,,york:903636
Abp_Reg_27_0304,144,v,,,york:903637
Abp_Reg_27_0305,145,r,,,york:903638
Abp_Reg_27_0306,145,v,,,york:903639
Abp_Reg_27_0307,146,r,,,york:903640
Abp_Reg_27_0308,146,v,,,york:903641
Abp_Reg_27_0309,147,r,,,york:903642
Abp_Reg_27_0310,147,v,,,york:903643
Abp_Reg_27_0311,148,r,,,york:903644
Abp_Reg_27_0312,148,v,,,york:903645
Abp_Reg_27_0313,149,r,,,york:903646
Abp_Reg_27_0314,149,v,,,york:903647
Abp_Reg_27_0315,150,r,,,york:903648
Abp_Reg_27_0316,150,v,,,york:903649
Abp_Reg_27_0317,151,r,,,york:903650
Abp_Reg_27_0318,151,v,,,york:903651
Abp_Reg_27_0319,152,r,,,york:903652
Abp_Reg_27_0320,152,v,,,york:903653
Abp_Reg_27_0321,153,r,,,york:903654
Abp_Reg_27_0322,153,v,,,york:903655
Abp_Reg_27_0323,154,r,,,york:903656
Abp_Reg_27_0324,154,v,,,york:903657
Abp_Reg_27_0325,155,r,,,york:903658
Abp_Reg_27_0326,155,v,,,york:903659
Abp_Reg_27_0327,156,r,,,york:903660
Abp_Reg_27_0328,156,v,,,york:903661
Abp_Reg_27_0329,157,r,,,york:903662
Abp_Reg_27_0330,157,v,,,york:903663
Abp_Reg_27_0331,158,r,,,york:903664
Abp_Reg_27_0332,158,v,,,york:903665
Abp_Reg_27_0333,159,r,,,york:903666
Abp_Reg_27_0334,159,v,,,york:903667
Abp_Reg_27_0335,160,r,,,york:903668
Abp_Reg_27_0336,160,v,,,york:903669
Abp_Reg_27_0337,161,r,,,york:903670
Abp_Reg_27_0338,161,v,,,york:903671
Abp_Reg_27_0339,162,r,,,york:903672
Abp_Reg_27_0340,162,v,,,york:903673
Abp_Reg_27_0341,163,r,,,york:903674
Abp_Reg_27_0342,163,v,,,york:903675
Abp_Reg_27_0343,164,r,,,york:903676
Abp_Reg_27_0344,164,v,,,york:903677
Abp_Reg_27_0345,165,r,Index,,york:903678
Abp_Reg_27_0346,165,v,Index,,york:903679
Abp_Reg_27_0347,166,r,,,york:903680
Abp_Reg_27_0348,166,v,,,york:903681
