Image,folio,recto/verso,Notes,PID
Abp_Reg_08_0203,100,r,,york:894495
Abp_Reg_08_0204,100,v,,york:894496
Abp_Reg_08_0205,101,r,,york:894497
Abp_Reg_08_0206,101,v,,york:894498
Abp_Reg_08_0207,102,r,,york:894499
Abp_Reg_08_0208,102,v,,york:894500
Abp_Reg_08_0209,103,r,,york:894501
Abp_Reg_08_0210,103,v,,york:894502
Abp_Reg_08_0211,104,r,,york:894503
Abp_Reg_08_0212,104,v,,york:894504
Abp_Reg_08_0213,105,r,,york:894505
Abp_Reg_08_0214,105,v,,york:894506
Abp_Reg_08_0215,106,r,,york:894507
Abp_Reg_08_0216,106,v,,york:894508
Abp_Reg_08_0217,107,r,,york:894509
Abp_Reg_08_0218,107,v,,york:894510
Abp_Reg_08_0219,108,r,,york:894511
Abp_Reg_08_0220,108,v,,york:894512
Abp_Reg_08_0221,109,r,,york:894513
Abp_Reg_08_0222,109,v,,york:894514
Abp_Reg_08_0223,110,r,,york:894515
Abp_Reg_08_0224,110,v,,york:894516
Abp_Reg_08_0225,111,r,,york:894517
Abp_Reg_08_0226,111,v,,york:894518
Abp_Reg_08_0227,112,r,,york:894519
Abp_Reg_08_0228,112,v,,york:894520
Abp_Reg_08_0229,113,r,,york:894521
Abp_Reg_08_0230,113,v,,york:894522
Abp_Reg_08_0231,114,r,,york:894523
Abp_Reg_08_0232,114,v,,york:894524
Abp_Reg_08_0233,115,r,,york:894525
Abp_Reg_08_0234,115,v,,york:894526
Abp_Reg_08_0235,116,r,,york:894527
Abp_Reg_08_0236,116,v,,york:894528
Abp_Reg_08_0237,117,r,,york:894529
Abp_Reg_08_0238,117,v,,york:894530
Abp_Reg_08_0239,118,r,,york:894531
Abp_Reg_08_0240,118,v,,york:894532
Abp_Reg_08_0241,119,r,,york:894533
Abp_Reg_08_0242,119,v,,york:894534
Abp_Reg_08_0243,120,r,,york:894535
Abp_Reg_08_0244,120,v,,york:894536
Abp_Reg_08_0245,121,r,,york:894537
Abp_Reg_08_0246,121,v,,york:894538
Abp_Reg_08_0247,122,r,,york:894539
Abp_Reg_08_0248,122,v,,york:894540
Abp_Reg_08_0249,123,r,,york:894541
Abp_Reg_08_0250,123,v,,york:894542
Abp_Reg_08_0251,124,r,,york:894543
Abp_Reg_08_0252,124,v,,york:894544
Abp_Reg_08_0253,125,r,,york:894545
Abp_Reg_08_0254,125,v,,york:894546
Abp_Reg_08_0255,126,r,,york:894547
Abp_Reg_08_0256,126,v,,york:894548
Abp_Reg_08_0257,127,r,,york:894549
Abp_Reg_08_0258,127,v,,york:894550
Abp_Reg_08_0259,128,r,,york:894551
Abp_Reg_08_0260,128,v,,york:894552
Abp_Reg_08_0261,129,r,,york:894553
Abp_Reg_08_0262,129,v,,york:894554
Abp_Reg_08_0263,130,r,,york:894555
Abp_Reg_08_0264,130,v,,york:894556
Abp_Reg_08_0265,131,r,,york:894557
Abp_Reg_08_0266,131,v,,york:894558
Abp_Reg_08_0267,132,r,,york:894559
Abp_Reg_08_0268,132,v,,york:894560
Abp_Reg_08_0269,133,r,,york:894561
Abp_Reg_08_0270,133,v,,york:894562
Abp_Reg_08_0271,134,r,,york:894563
Abp_Reg_08_0272,134,v,,york:894564
Abp_Reg_08_0273,135,r,,york:894565
Abp_Reg_08_0274,135,v,,york:894566
Abp_Reg_08_0275,136,r,,york:894567
Abp_Reg_08_0276,136,v,,york:894568
Abp_Reg_08_0277,137,r,,york:894569
Abp_Reg_08_0278,137,v,,york:894570
Abp_Reg_08_0279,138,r,,york:894571
Abp_Reg_08_0280,138,v,,york:894572
Abp_Reg_08_0281,139,r,,york:894573
Abp_Reg_08_0282,139,v,,york:894574
Abp_Reg_08_0283,140,r,,york:894575
Abp_Reg_08_0284,140,v,,york:894576
Abp_Reg_08_0285,141,r,,york:894577
Abp_Reg_08_0286,141,v,,york:894578
Abp_Reg_08_0287,142,r,,york:894579
Abp_Reg_08_0288,142,v,,york:894580
Abp_Reg_08_0289,143,r,,york:894581
Abp_Reg_08_0290,143,v,,york:894582
Abp_Reg_08_0291,144,r,,york:894583
Abp_Reg_08_0292,144,v,,york:894584
Abp_Reg_08_0293,145,r,,york:894585
Abp_Reg_08_0294,145,v,,york:894586
Abp_Reg_08_0295,146,r,,york:894587
Abp_Reg_08_0296,146,v,,york:894588
Abp_Reg_08_0297,147,r,,york:894589
Abp_Reg_08_0298,147,v,,york:894590
Abp_Reg_08_0299,148,r,,york:894591
Abp_Reg_08_0300,148,v,,york:894592
Abp_Reg_08_0301,149,r,,york:894593
Abp_Reg_08_0302,149,v,,york:894594
Abp_Reg_08_0303,150,r,,york:894595
