New Folio No. ,Entry No.,Entry Part,Person - Title,Person - First name,Person - Last Name - Prefix,Person - Last Name - as written,Person -  Qualification,Person - further description,Role - role in entry,Role - associated place - as written,Role - associated place - type,Role - associated place - function,Occupation 1  - employment,Status 1  - office,Status 1 - associated place - as written,Status 1 - associated place - standard,Status 1 - associated place - type,Status 1 - associated place - function,Status 2 - office,Status 2 - associated place - as written,Status 2 - associated place - type,Status 2 - associated place - function,Status 3 - office,Status 3 - Place - as written,Status 3 - Place - Type,Status 3 - Place- Function,Status 4,Status 4 - place - as written,Status 4 - place - type,Status 4 - place - function,Status 5,Status 5 - place - as written,Status 5 - place - type,Status 5 - place - function,Status 6,Status 6 - place - as written,Status 6 - place - type,Status 6 - place - function
2,11,,Master,Simon,de,Multon',Doctor of Laws,,new canon and prebendary,,,,,canon,Eton',,canonry,,,,,,,,,,,,,,,,,,,,,
2,11,,Master,Simon,de,Multon',Doctor of Laws,,new canon and prebendary,,,,,prebendary,Eton',,prebend,,,,,,,,,,,,,,,,,,,,,
2,11,,,Alexander,,[Neville],,,sender,,,,,[archbishop],[York],,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,12,,,Alexander,,[Neville],,,sender,,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,12,,,,,,,,addressees,,,,,chapter,beati petri Ebor',,cathedral church,,,,,,,,,,,,,,,,,,,,,
2,12,,,,,,,,addressee,,,,,dean,beati petri Ebor',,cathedral church,,,,,,,,,,,,,,,,,,,,,
2,12,,,Gregory XI,,,,,,,,,,Pope,,,,,,,,,,,,,,,,,,,,,,,,
2,12,,Master,John,de,Clifford,Licentiate in Laws,,subject of admission,,,,,treasurer,beati petri Ebor',,cathedral church,,,,,,,,,,,,,,,,,,,,,
2,12,,Master,John,,Brankentr',,,former office holder,,,,,treasurer,beati petri Ebor',,cathedral church,,,,,,,,,,,,,,,,,,,,,
2,13,,,Alexander,,[Neville],,,sender,,,,,[archbishop],[York],,archdiocese,,,,,,,,,,,,,,,,,,,,,
2,13,,,,,,,,addressees,,,,,chapter,Ebor',,cathedral church,,,,,,,,,,,,,,,,,,,,,
2,13,,,,,,,,addressee,,,,,dean,Ebor',,cathedral church,,,,,,,,,,,,,,,,,,,,,
2,13,,,GregoryXI,,,,,,,,,,Pope,,,,,,,,,,,,,,,,,,,,,,,,
2,13,,Master,Thomas,de,Brandon,Licentiate in Laws,,subject of admission,,,,,canon,Bole,,canonry,,,,,,,,,,,,,,,,,,,,,
2,13,,Master,Thomas,de,Brandon,Licentiate in Laws,,subject of admission,,,,,prebendary,Bole,,prebend,,,,,,,,,,,,,,,,,,,,,
