New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type,,
16,158,,1374-12-10,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
16,159,,1374-12-10,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
16v - 17r,160,,1374-12-11,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17,161,,1374-12-15,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17,162,,1374-12-15,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17,163,,1374-12-15,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17,164,,1374-12-16,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17,165,,1374-12-16,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17,166,,1374-12-16,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17,167,,1374-12-20,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17,168,,1374-12-19,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17,169,,[0000-00-00],,,,,Document date,,,Vacated entry; incomplete,,,,,,,,,,,,,,
17,170,,1374-12-20,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17,171,,1374-12-23,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17,172,,1374-12-23,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17,173,,1374-12-31,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17,174,,1374-11-14,,,,,Document date,Donc',,,,,,,,,,,,,,,,
17,175,,1341-00-00,,,,,Document date,,,Year only given,,,,,,,,,,,,,,
17,176,,[0000-00-00],,,,,Document date,,,"Undated, but document appears with others dated in late 1374 and early 1375",,,,,,,,,,,,,,
